Timestamp,年齢,性別,対話1におけるあなた（Cさん）の発言を入力してください．,対話1においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話1において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話2におけるあなた（Cさん）の発言を入力してください．,対話2においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話2において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話3におけるあなた（Cさん）の発言を入力してください．,対話3においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話3において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話4におけるあなた（Cさん）の発言を入力してください．,対話4においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話4において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話5におけるあなた（Cさん）の発言を入力してください．,対話5においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話5において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話6におけるあなた（Cさん）の発言を入力してください．,対話6においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話6において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話7におけるあなた（Cさん）の発言を入力してください．,対話7においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話7において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話8におけるあなた（Cさん）の発言を入力してください．,対話8においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話8において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話9におけるあなた（Cさん）の発言を入力してください．,対話9においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話9において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話10におけるあなた（Cさん）の発言を入力してください．,対話10においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話10において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,
9/4/2023 21:59:40,50,男,便利そうなサービスですね。,3,2,それで気がまぎれるならいいですね。,2,2,私も一度試してみたいです,5,0,人それぞれ適正ってありますからね。,3,6,私も色々あって最近へこんでました。,5,7,私も大丈夫だと思います。,4,8,どう違うのか気になりました。,5,5,私も運転は苦手なので参考になりました。,4,4,私も楽しみです。,4,4,大変だったんだなと驚きました。,5,2,
9/4/2023 22:01:23,29,女,そういうところに通うのもいいかもしれませんね。,2,10,いいですね！私も試してみたいです。,5,10,占いでいいことは信じたいですが、悪いことは当たらないと思いたいですね。,2,0,私はあまり特技がないので皆さんが羨ましいです。,6,6,大変でしたね。そのぶんこれからいいことがありますよ。,7,7,そうですね、詳しくはないですがあまりいい印象はないです。,1,1,私もたこ焼きが大好きなので楽しみにしています。,4,0,話ができる人がいるっていいですよね。,2,4,私はゲームには疎いので…,2,0,私はとても朝に強い方なので早起きは得意です。,5,8,
9/4/2023 22:05:59,48,男,私もそのサービスを享受したいです。,6,6,私も真似したいです。,5,6,私もその占い師さんに占ってもらいたいです。,5,2,私も地理には自信がありますよ。,7,4,嫌なことがあっても前向きに頑張りますよ。,6,8,私もその雑誌を読みたいです。,5,3,私もたこパーに参加したいです。,5,1,マッサージ屋が絶好調なんて羨ましいです。,5,2,私も一緒にゲーム大会をしたいです。,5,1,早朝にくるお客様がいるのですね。,5,2,かなり難しかったです。
9/4/2023 22:07:34,49,女,年を重ねるとどうしても無理がきかなくなるんですよね,3,6,ヘッドホンをして独り占めするのもよいですよね,2,0,良い結果が出たらきっといいことがあるって思ってます,3,0,私は記憶力に自信が無いのでうらやましいですね,6,5,私は可も無く不可も無くってところですね,5,1,きっと大丈夫だよ,7,1,面白そうだね私も参加したいな,7,3,私は車を運転しますので、比較的出かけやすいですね,4,0,楽しそうですね、私もご一緒したいな,7,3,私は比較的朝に強いのであまり苦労しなかったです,1,6,
9/4/2023 22:07:59,39歳,女,私も体がいうこときかないので、通ってみたいです。,4,10,私も真似してみたいです。,1,0,私もこう思います。,0,1,確かに記憶力があれば運転もスムーズですね。,2,0,私もぼちぼち元気でしたよ。,2,3,大丈夫だと思いますよ。,0,1,私も参加したいです。,4,4,私もお願いします。,0,1,私も参加させて下さい。,2,3,私にも教えて下さい。,1,2,
9/4/2023 22:15:24,45,女,私もサービスをお願いします。,7,6,私も真似してみたいです。,5,4,そうなんですね～,1,1,記憶力が良いのはうらやましいです。,6,6,私が元気に過ごしていました。,4,2,私も大丈夫だと思いますよ。,1,0,私もいいかな？,4,2,私もまたお話をしたいです。,8,5,私もお願いしたいです。,8,7,私もどうやって朝起きしていらっしゃったのか知りたいです。,9,9,
9/4/2023 22:17:17,31,男,マッサージをしてもらえるのなら身体がほぐれて健康的になれそうですね。,8,8,イヤホンとかで聞けば周りに音が聞こえる心配もなさそうでいいですね。,2,0,都合の良い部分だけを気にしてくれば良いと思いますよ。占いは。,4,0,地図やナビを見なくても目的地までの道のりが分かるのはすごすぎます！,6,6,いつまでも抱え込んでいても良いことはないですからね。前向きにいきましょう！私は普段通り元気に過ごしていましたよ。,8,3,占いなんて当たらなくても問題ないよ！完璧に占える人なんていないんだから。,4,0,ソースの味が合わなくても全然気にしないさ！たこパ楽しみにしているね。,6,0,忙しいかと思いますが、また機会がありましたらお話ししましょうね。,8,6,自分も今度伺わせてもらいますね。皆さんと遊べるの楽しみにしています。,7,9,日中に身体を動かしまくって、夜早い時間に寝れば朝も早くに目が覚めますよ。,7,4,
9/4/2023 22:17:55,38,男,私も通ってみたいですね。,2,9,私も良いと思います。,0,0,私もそう思います。,0,0,私には向いていないと思います。,3,0,私もあまり良いことは無いですね。,3,1,私はやめた方がいいと思うな。,0,0,美味しいたこ焼き楽しみにしてる。,5,0,お互いに時間ができるといいですね。,2,1,是非一緒に楽しみたいです。,7,0,私も朝は苦手なので聞きたいです。,5,7,
9/4/2023 22:36:27,42,男,サービスしてもらえるのであれば興味がありますね。,6,6,私も真似してみようと思います。,7,4,私は占いは楽しめればそれでいいと思っています。,0,2,記憶力っていろんなところで要求されるスキルですから、高いに越したことはないですよね。,7,6,私は特に変わりは無かったですね。,9,4,大丈夫だと良いですね。,1,2,楽しそうなんで私も一緒していいかな？,5,1,私もまたお話したいので是非ご一緒させてください。,7,4,楽しそうなので私も参加させてもらっていいですか？,7,2,それは私も気になります。,2,2,
9/4/2023 23:11:04,50,男,いいと思いますよ,7,8,私も真似してみたいです。,3,2,そうなんですか。,2,1,他でも生かせそうな才能ですね。,5,4,それは大変だったと思います。,6,8,わたしも大丈夫だと思いますよ。,7,2,楽しみで良かったね。,4,2,また付き合ってください。,6,3,楽しそうですね。,8,5,目覚まし時計を2個使っていました。,8,9,なかなか発言を読めなくて難しかったです。
