,filename,turn,utterance,low_similarity,important
0,PP33.txt,1,A: このコロナ、いつ落ち着くんだろうね－。,0,0
0,PP33.txt,2,B: ほんとだよ。わたしはもともと人付き合いが苦手だからそんなに苦じゃないけどあなたにとってはステイホームって辛いんじゃない？,0,0
0,PP33.txt,3,A: 辛いね！なにが辛いって、海外旅行が出来ないこと！いつになったら、行けるようになるんだろう？,0,1
0,PP33.txt,4,B: しばらく無理だろうね。海外旅行好きだよね。わたしは古本屋が好きだから馴染みの古本屋さえ潰れなければいいかな。,1,0
0,PP33.txt,5,A: 本好きなんだね！知識も豊富そうで羨ましいなあ。,1,0
0,PP33.txt,6,B: 知識が増えるのも嬉しいけど何より本屋の匂いが懐かしく感じられて好きなんだ。あなたも好きなものある？,0,0
0,PP33.txt,7,A: 好きなものじゃなくて、わたしは逆にじっとしてるのが嫌いなの！海外旅行とか、とにかく動きたい派！,0,0
0,PP33.txt,8,B: なるほどね。全然性格違うのになんでわたしたちこれだけ付き合い長いんだろうね。,0,0
0,PP33.txt,9,A: ほんとだねー！あ、そうだ、旅行じゃなくて引っ越しちゃえば良いんじゃない？海外は無理でも、神戸を出て東京に行こうかなあ！,0,1
0,PP33.txt,10,B: 東京に住みたいの？,0,0
0,PP33.txt,11,A: 生まれも育ちも兵庫だから、兵庫以外ならどこでも良いって感じ！オススメはある？,0,0
0,PP33.txt,12,B: わたしが住んでる有明湾の近くはすごくおすすめ！,0,0
0,PP33.txt,13,A: 佐賀か！なかなかマイナーなところだけど、かえって色々楽しめるかも！検討してみるよ！,0,0
